country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",19-10-2025 20:00,28.647622,77.315809,OZONE,9,30,18
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",19-10-2025 20:00,28.695381,77.181665,PM10,171,318,267
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",19-10-2025 20:00,28.4706914,77.1099364,PM10,141,290,213
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",19-10-2025 20:00,28.4706914,77.1099364,NO2,61,140,88
India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-10-2025 20:00,28.7762,77.051074,PM2.5,270,381,329
India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-10-2025 20:00,28.7762,77.051074,NH3,4,12,7
India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-10-2025 20:00,28.7762,77.051074,OZONE,4,212,143
India,Delhi,Delhi,"Alipur, Delhi - DPCC",19-10-2025 20:00,28.815329,77.15301,PM2.5,150,422,284
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",19-10-2025 20:00,28.656756,77.227234,SO2,3,47,25
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",19-10-2025 20:00,28.5710274,77.0719006,PM10,190,500,329
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",19-10-2025 20:00,28.56789,77.250515,NO2,31,114,60
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",19-10-2025 20:00,28.56789,77.250515,CO,10,115,67
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",19-10-2025 20:00,28.6573814,77.1585447,PM2.5,198,374,304
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",19-10-2025 20:00,28.6573814,77.1585447,PM10,150,313,225
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",19-10-2025 20:00,28.6573814,77.1585447,OZONE,33,302,176
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",19-10-2025 20:00,28.530785,77.271255,PM2.5,257,375,324
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",19-10-2025 20:00,28.530785,77.271255,NH3,6,10,7
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",19-10-2025 20:00,28.530785,77.271255,SO2,9,19,13
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",19-10-2025 20:00,28.530785,77.271255,CO,8,115,30
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",19-10-2025 20:00,28.530785,77.271255,OZONE,9,306,195
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",19-10-2025 20:00,28.674045,77.131023,SO2,12,16,13
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",19-10-2025 20:00,28.674045,77.131023,OZONE,4,179,115
India,Delhi,Delhi,"Pusa, Delhi - DPCC",19-10-2025 20:00,28.639652,77.146275,SO2,8,20,12
India,Delhi,Delhi,"Pusa, Delhi - IMD",19-10-2025 20:00,28.63611,77.173332,PM2.5,NA,NA,NA
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",19-10-2025 20:00,28.563262,77.186937,OZONE,5,251,127
India,Delhi,Delhi,"Rohini, Delhi - DPCC",19-10-2025 20:00,28.732528,77.11992,PM10,163,424,274
India,Delhi,Delhi,"Rohini, Delhi - DPCC",19-10-2025 20:00,28.732528,77.11992,NO2,7,43,24
India,Delhi,Delhi,"Rohini, Delhi - DPCC",19-10-2025 20:00,28.732528,77.11992,SO2,3,9,5
India,Delhi,Delhi,"Rohini, Delhi - DPCC",19-10-2025 20:00,28.732528,77.11992,CO,10,59,20
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",19-10-2025 20:00,28.58028,77.233829,PM2.5,204,345,316
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",19-10-2025 20:00,28.58028,77.233829,OZONE,51,131,53
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",19-10-2025 20:00,28.5918245,77.2273074,NO2,1,72,27
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",19-10-2025 20:00,28.611281,77.237738,NH3,18,22,19
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",19-10-2025 20:00,28.611281,77.237738,CO,10,114,52
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",19-10-2025 20:00,28.611281,77.237738,OZONE,2,305,191
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",19-10-2025 20:00,28.636429,77.201067,NO2,4,96,37
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",19-10-2025 20:00,28.636429,77.201067,OZONE,7,197,119
India,Delhi,Delhi,"Mundka, Delhi - DPCC",19-10-2025 20:00,28.684678,77.076574,PM2.5,170,375,284
India,Delhi,Delhi,"Mundka, Delhi - DPCC",19-10-2025 20:00,28.684678,77.076574,SO2,11,68,26
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",19-10-2025 20:00,28.60909,77.0325413,PM10,176,413,232
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",19-10-2025 20:00,28.60909,77.0325413,NH3,19,33,24
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",19-10-2025 20:00,28.60909,77.0325413,OZONE,10,65,35
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",19-10-2025 20:00,28.570173,76.933762,PM10,123,170,143
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",19-10-2025 20:00,28.6514781,77.1473105,NO2,55,165,99
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",19-10-2025 20:00,28.6514781,77.1473105,SO2,1,50,22
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",19-10-2025 20:00,28.5504249,77.2159377,NO2,51,64,57
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",19-10-2025 20:00,28.5504249,77.2159377,SO2,23,31,28
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",19-10-2025 20:00,28.710508,77.249485,PM2.5,160,413,285
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",19-10-2025 20:00,28.531346,77.190156,SO2,6,10,8
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",19-10-2025 20:00,28.699793,77.165453,PM10,239,500,384
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",19-10-2025 20:00,28.699793,77.165453,OZONE,2,346,169
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",19-10-2025 20:00,28.5710274,77.0719006,CO,24,151,151
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",19-10-2025 20:00,28.5710274,77.0719006,OZONE,13,276,154
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",19-10-2025 20:00,28.5627763,77.1180053,NO2,95,196,151
India,Delhi,Delhi,"ITO, Delhi - CPCB",19-10-2025 20:00,28.628624,77.24106,NO2,59,115,90
India,TamilNadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",19-10-2025 20:00,12.9099161,80.1076538,NO2,9,18,13
India,TamilNadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",19-10-2025 20:00,12.9099161,80.1076538,NH3,1,6,3
India,TamilNadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",19-10-2025 20:00,12.9099161,80.1076538,SO2,15,16,15
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB",19-10-2025 20:00,13.0664,80.2112,NO2,6,16,10
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",19-10-2025 20:00,26.902909,75.836858,PM2.5,55,315,130
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",19-10-2025 20:00,26.902909,75.836858,PM10,63,202,116
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",19-10-2025 20:00,26.843698,75.766894,PM2.5,41,357,218
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",19-10-2025 20:00,26.843698,75.766894,CO,24,109,36
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",19-10-2025 20:00,26.9164092,75.7994901,NO2,64,103,95
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",19-10-2025 20:00,26.786682,75.827928,PM2.5,NA,NA,NA
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",19-10-2025 20:00,26.786682,75.827928,NH3,NA,NA,NA
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",19-10-2025 20:00,26.786682,75.827928,SO2,NA,NA,NA
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",19-10-2025 20:00,26.786682,75.827928,CO,14,81,31
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",19-10-2025 20:00,26.786682,75.827928,OZONE,25,153,102
