date,maxtempC,mintempC,totalSnow_cm,sunHour,precipMM,windspeedKmph,weatherDesc
2018-10-01,34,24,0.0,12.0,0.0,6,Sunny
2018-10-02,35,23,0.0,11.0,0.0,4,Overcast
2018-10-03,34,24,0.0,12.0,0.0,4,Sunny
2018-10-04,34,24,0.0,11.0,0.0,6,Overcast
2018-10-05,34,23,0.0,12.0,0.0,6,Sunny
2018-10-06,33,22,0.0,10.0,0.0,6,Overcast
2018-10-07,34,23,0.0,12.0,0.0,5,Sunny
2018-10-08,34,23,0.0,11.0,0.0,6,Sunny
2018-10-09,34,23,0.0,11.0,0.0,9,Sunny
2018-10-10,34,23,0.0,10.0,0.8,11,Moderate rain at times
2018-10-11,30,23,0.0,7.0,0.8,9,Patchy rain possible
2018-10-12,31,21,0.0,11.0,0.0,6,Sunny
2018-10-13,31,21,0.0,11.0,0.0,7,Sunny
2018-10-14,32,19,0.0,11.0,0.0,8,Sunny
2018-10-15,33,20,0.0,11.0,0.0,5,Sunny
2018-10-16,33,21,0.0,2.0,0.0,7,Overcast
2018-10-17,35,22,0.0,11.0,0.0,5,Sunny
2018-10-18,33,21,0.0,10.0,0.4,8,Patchy rain possible
2018-10-19,33,22,0.0,11.0,0.0,6,Sunny
